Layers,Alpha,Cost_km,Approx_Ratio_vs_LKH3
1,0.0,74041.70583541601,1.3866702769215065
1,0.3,74041.70583541601,1.3866702769215065
1,0.5,74041.70583541601,1.3866702769215065
1,0.7,74041.70583541601,1.3866702769215065
2,0.0,102917.15278784702,1.9274563591704017
2,0.3,109909.53998542695,2.0584114118965458
2,0.5,109909.53998542695,2.0584114118965458
2,0.7,112730.2115280028,2.1112376041744843
3,0.0,105220.72734997208,1.9705982390059602
3,0.3,105199.76905910885,1.9702057272631903
3,0.5,105199.76905910885,1.9702057272631903
3,0.7,108899.27986991538,2.039491025631362
4,0.0,115548.70374172217,2.1640229814750422
4,0.3,119227.25626166548,2.2329157681004443
4,0.5,119227.25626166548,2.2329157681004443
4,0.7,119227.25626166548,2.2329157681004443
