Layers,Alpha,Cost_km,Approx_Ratio_vs_LKH3
1,0.0,78337.84052982854,1.563319264492627
1,0.3,99656.19729088305,1.9887509279962075
1,0.5,99656.19729088305,1.9887509279962075
1,0.7,99656.19729088305,1.9887509279962075
2,0.0,85432.16856716135,1.7048945187296847
2,0.3,76288.6694940695,1.522425763538607
2,0.5,95853.50283400105,1.9128639050553675
2,0.7,86864.9252334074,1.7334867811985462
3,0.0,100981.97633150793,2.0152083322423744
3,0.3,77645.46695625359,1.5495021750952855
3,0.5,85961.57668150614,1.7154594500366536
3,0.7,78292.93203633063,1.5624230652541775
4,0.0,81006.43720894685,1.6165740972708957
4,0.3,78482.3844823355,1.5662038008034538
4,0.5,78482.3844823355,1.5662038008034538
4,0.7,78482.3844823355,1.5662038008034538
