Regime,Layers,Alpha,Cost_km,Approx_Ratio
8-port,1,0.0,61467.266882618,1.436
8-port,1,0.3,61467.266882618,1.436
8-port,1,0.5,61467.266882618,1.436
8-port,1,0.7,61467.266882618,1.436
8-port,2,0.0,53878.98697228704,1.259
8-port,2,0.3,53878.98697228704,1.259
8-port,2,0.5,47402.83010394184,1.107
8-port,2,0.7,47312.84409603624,1.105
8-port,3,0.0,53592.50849975984,1.252
8-port,3,0.3,53592.50849975984,1.252
8-port,3,0.5,53592.50849975984,1.252
8-port,3,0.7,53592.50849975984,1.252
8-port,4,0.0,61557.25289052358,1.438
8-port,4,0.3,60158.65137601064,1.405
8-port,4,0.5,53878.98697228704,1.259
8-port,4,0.7,53878.98697228704,1.259
12-port,1,0.0,78337.84052982854,1.563
12-port,1,0.3,99656.19729088305,1.989
12-port,1,0.5,99656.19729088305,1.989
12-port,1,0.7,99656.19729088305,1.989
12-port,2,0.0,85432.16856716135,1.705
12-port,2,0.3,76288.6694940695,1.522
12-port,2,0.5,95853.50283400105,1.913
12-port,2,0.7,86864.9252334074,1.733
12-port,3,0.0,100981.97633150793,2.015
12-port,3,0.3,77645.46695625359,1.55
12-port,3,0.5,85961.57668150614,1.715
12-port,3,0.7,78292.93203633063,1.562
12-port,4,0.0,81006.43720894685,1.617
12-port,4,0.3,78482.3844823355,1.566
12-port,4,0.5,78482.3844823355,1.566
12-port,4,0.7,78482.3844823355,1.566
16-port,1,0.0,74041.70583541601,1.387
16-port,1,0.3,74041.70583541601,1.387
16-port,1,0.5,74041.70583541601,1.387
16-port,1,0.7,74041.70583541601,1.387
16-port,2,0.0,102917.15278784702,1.927
16-port,2,0.3,109909.53998542695,2.058
16-port,2,0.5,109909.53998542695,2.058
16-port,2,0.7,112730.2115280028,2.111
16-port,3,0.0,105220.72734997208,1.971
16-port,3,0.3,105199.76905910885,1.97
16-port,3,0.5,105199.76905910885,1.97
16-port,3,0.7,108899.27986991538,2.039
16-port,4,0.0,115548.70374172217,2.164
16-port,4,0.3,119227.25626166548,2.233
16-port,4,0.5,119227.25626166548,2.233
16-port,4,0.7,119227.25626166548,2.233
20-port,1,0.0,126871.46849574146,1.98
20-port,1,0.3,126871.46849574146,1.98
20-port,1,0.5,143036.0056996742,2.233
20-port,1,0.7,90298.93370861633,1.409
20-port,2,0.0,104051.43953344364,1.624
20-port,2,0.3,104051.44570196151,1.624
20-port,2,0.5,120970.02786927803,1.888
20-port,2,0.7,120970.02786927803,1.888
20-port,3,0.0,114678.62521055172,1.79
20-port,3,0.3,128296.69864638046,2.003
20-port,3,0.5,128296.69864638046,2.003
20-port,3,0.7,128296.69864638046,2.003
20-port,4,0.0,131246.56130316568,2.049
20-port,4,0.3,132230.61610988565,2.064
20-port,4,0.5,116066.07890595295,1.812
20-port,4,0.7,113472.64764756459,1.771
