p,seed,cost_km,approx_ratio
1,42,61467.266882618,1.4358
1,123,55654.31348647346,1.3001
1,456,53061.03003279546,1.2395
1,789,53061.03003279546,1.2395
2,42,47402.83010394184,1.1073
2,123,51886.851974111196,1.2121
2,456,55277.588486799985,1.2913
2,789,45275.17446954439,1.0576
3,42,53592.50849975984,1.2519
3,123,55719.080945858776,1.3016
3,456,54505.16617562443,1.2732
3,789,51068.89503461962,1.1929
4,42,53878.98697228704,1.2586
4,123,52434.45574332187,1.2248
4,456,51841.31734579519,1.211
4,789,45651.638949977176,1.0664
5,42,53638.043128075864,1.253
5,123,53297.947311129465,1.245
5,456,53106.56466111148,1.2405
5,789,55854.60158208038,1.3047
