Layers,Alpha,Cost_km,Approx_Ratio_vs_LKH3
1,0.0,61467.266882618,1.4358657269214923
1,0.3,61467.266882618,1.4358657269214923
1,0.5,61467.266882618,1.4358657269214923
1,0.7,61467.266882618,1.4358657269214923
2,0.0,53878.98697228704,1.2586046967485
2,0.3,53878.98697228704,1.2586046967485
2,0.5,47402.83010394184,1.1073226866473858
2,0.7,47312.84409603624,1.105220627596983
3,0.0,53592.50849975984,1.2519126045006348
3,0.3,53592.50849975984,1.2519126045006348
3,0.5,53592.50849975984,1.2519126045006348
3,0.7,53592.50849975984,1.2519126045006348
4,0.0,61557.25289052358,1.4379677859718947
4,0.3,60158.65137601064,1.4052966736521517
4,0.5,53878.98697228704,1.2586046967485
4,0.7,53878.98697228704,1.2586046967485
