Regime,Seed,Cost_km,Quantum_Decisions,Classical_Decisions,Quantum_Influence_%
8-port,89250,53387.93331903505,7,0,100.0
8-port,773956,57589.503282554404,7,0,100.0
8-port,654571,48711.445610549184,7,0,100.0
8-port,438878,61512.801510934005,7,0,100.0
8-port,433015,61512.801510934005,7,0,100.0
8-port,858597,51841.31734579519,7,0,100.0
8-port,85945,53592.50849975983,7,0,100.0
8-port,697368,51023.36040630362,7,0,100.0
12-port,89250,85346.77695475164,11,0,100.0
12-port,773956,69293.52798126523,11,0,100.0
12-port,654571,72091.12609642732,11,0,100.0
12-port,438878,91975.73923393745,11,0,100.0
12-port,433015,100233.21038616344,11,0,100.0
12-port,858597,69133.83260012556,11,0,100.0
12-port,85945,64534.30762803985,11,0,100.0
12-port,697368,101053.72101260937,11,0,100.0
16-port,89250,76117.02288480074,8,7,53.333333333333336
16-port,773956,114845.22289262405,8,7,53.333333333333336
16-port,654571,118566.83696705796,8,7,53.333333333333336
16-port,438878,76117.02288480075,8,7,53.333333333333336
16-port,433015,114824.26460176085,8,7,53.333333333333336
16-port,858597,81902.81899598424,8,7,53.333333333333336
16-port,85945,113475.6089588273,8,7,53.333333333333336
16-port,697368,118496.22783515649,8,7,53.333333333333336
20-port,89250,126286.34583666352,8,11,42.10526315789474
20-port,773956,113292.35705942768,8,11,42.10526315789474
20-port,654571,126771.50450517643,8,11,42.10526315789474
20-port,438878,146336.33784510798,8,11,42.10526315789474
20-port,433015,121123.20370187593,8,11,42.10526315789474
20-port,858597,111127.17981126522,8,11,42.10526315789474
20-port,85945,143742.9065867196,8,11,42.10526315789474
20-port,697368,142936.04170910915,8,11,42.10526315789474
